scenario,region,sector,subsector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
GCAM-China-ref,AH,CO2 removal,dac,hightemp DAC elec,airCO2,0,0,0,0,0.00E+00,9.14E-10,1.40E-09,2.53E-09,5.27E-09,9.71E-09,2.21E-08,4.24E-08,4.31E-07,9.73E-07,8.84E-07,5.62E-07,4.70E-07,4.91E-07,6.00E-07,1.19E-06,6.46E-06,Mt
GCAM-China-ref,AH,CO2 removal,dac,hightemp DAC elec,elect_td_ind,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E-10,2.14E-10,4.87E-10,9.33E-10,9.48E-09,2.14E-08,1.94E-08,1.24E-08,1.03E-08,1.08E-08,1.32E-08,2.62E-08,1.42E-07,EJ
GCAM-China-ref,AH,CO2 removal,dac,lowtemp DAC heatpump,airCO2,0,0,0,0,0.00E+00,8.38E-10,1.28E-09,2.32E-09,4.87E-09,8.97E-09,2.05E-08,3.93E-08,3.98E-07,8.90E-07,8.04E-07,5.11E-07,4.26E-07,4.45E-07,5.43E-07,1.07E-06,5.74E-06,Mt
GCAM-China-ref,AH,CO2 removal,dac,lowtemp DAC heatpump,elect_td_ind,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E-10,4.11E-10,7.89E-10,7.98E-09,1.79E-08,1.61E-08,1.03E-08,8.55E-09,8.93E-09,1.09E-08,2.16E-08,1.15E-07,EJ
GCAM-China-ref,AH,H2 central production,biomass,biomass to H2,elect_td_ind,0,0,0,0,1.34E-06,1.49E-06,4.65E-06,6.17E-06,5.91E-06,3.19E-06,6.15E-07,4.68E-08,0.00E+00,0.00E+00,1.55E-10,4.78E-10,1.28E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
GCAM-China-ref,AH,H2 central production,biomass,biomass to H2,regional biomass,0,0,0,0,1.00E-04,1.11E-04,3.48E-04,4.62E-04,4.42E-04,2.39E-04,4.60E-05,3.51E-06,2.29E-09,1.57E-09,1.87E-08,3.62E-08,1.01E-08,3.98E-10,0.00E+00,1.51E-10,1.21E-10,EJ
GCAM-China-ref,AH,H2 central production,biomass,biomass to H2,regional natural gas,0,0,0,0,2.07E-06,2.20E-06,5.90E-06,7.33E-06,6.84E-06,3.64E-06,6.99E-07,5.28E-08,0.00E+00,0,1.62E-10,3.38E-10,1.12E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,EJ
GCAM-China-ref,AH,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,0,0,0,0,0.00E+00,1.07E-07,5.03E-07,2.19E-06,6.63E-06,1.22E-05,1.98E-05,4.48E-05,1.28E-03,2.11E-03,1.88E-03,0.001692588,1.43E-03,1.15E-03,9.83E-04,9.36E-04,5.52E-04,EJ
GCAM-China-ref,AH,H2 central production,biomass,biomass to H2 CCS,regional biomass,0,0,0,0,0.00E+00,8.00E-06,3.76E-05,1.64E-04,4.97E-04,9.15E-04,0.001481526,0.003365314,0.095778662,0.158835606,0.141381155,0.127159845,1.08E-01,8.68E-02,7.38E-02,7.03E-02,4.15E-02,EJ
GCAM-China-ref,AH,H2 central production,biomass,biomass to H2 CCS,regional natural gas,0,0,0,0,0,1.39E-07,5.80E-07,2.24E-06,6.06E-06,1.07E-05,1.70E-05,3.84E-05,1.10E-03,1.84E-03,1.63E-03,1.47E-03,1.24E-03,1.00E-03,8.54E-04,8.13E-04,4.95E-04,EJ
GCAM-China-ref,AH,H2 central production,coal,coal chemical CCS,elect_td_ind,0,0,0,0,0.00E+00,2.28E-05,1.49E-04,2.82E-04,3.99E-04,5.18E-04,6.14E-04,7.59E-04,9.89E-04,0.001040372,0.001059689,8.94E-04,6.96E-04,5.11E-04,3.96E-04,3.43E-04,6.25E-04,EJ
GCAM-China-ref,AH,H2 central production,coal,coal chemical CCS,regional coal,0,0,0,0,0,9.42E-04,0.006158156,0.01168809,0.016530941,0.021503053,0.025480055,0.03150883,0.041099253,0.043206928,0.04401346,0.03713509,2.89E-02,2.12E-02,1.65E-02,1.43E-02,2.59E-02,EJ
GCAM-China-ref,AH,H2 central production,electricity,electrolysis,elect_td_ind,0,0,0,0,2.18E-05,1.20E-05,8.44E-05,8.30E-05,7.04E-05,7.44E-05,6.59E-05,1.01E-04,3.89E-04,2.55E-04,3.20E-07,7.08E-07,6.74E-07,4.84E-07,3.70E-07,1.36E-05,3.01E-04,EJ
GCAM-China-ref,AH,H2 central production,gas,natural gas steam reforming,elect_td_ind,0,0,0,0,4.84E-05,5.75E-05,1.71E-04,2.28E-04,2.38E-04,2.19E-04,1.38E-04,3.44E-05,6.80E-08,4.35E-08,3.64E-07,8.97E-07,5.11E-07,8.48E-08,7.88E-09,1.02E-08,1.02E-07,EJ
GCAM-China-ref,AH,H2 central production,gas,natural gas steam reforming,regional natural gas,0,0,0,0,0.00384946,0.00456492,0.01335718,0.017790063,0.018510125,0.017007693,0.010653638,0.002661082,5.25E-06,3.36E-06,2.79E-05,6.83E-05,3.89E-05,6.47E-06,6.10E-07,7.82E-07,7.73E-06,EJ
GCAM-China-ref,AH,H2 central production,gas,natural gas steam reforming CCS,elect_td_ind,0,0,0,0,0.00E+00,2.63E-06,1.93E-05,4.90E-05,8.67E-05,1.38E-04,1.95E-04,2.94E-04,6.00E-04,6.83E-04,6.88E-04,6.14E-04,4.98E-04,3.81E-04,3.04E-04,2.68E-04,3.39E-04,EJ
GCAM-China-ref,AH,H2 central production,gas,natural gas steam reforming CCS,regional natural gas,0,0,0,0,0,1.84E-04,0.001348398,0.003425899,0.006064284,0.00967562,0.013633173,0.020539158,0.041949808,0.047783582,0.048093817,0.04296065,3.48E-02,2.66E-02,2.13E-02,1.87E-02,2.37E-02,EJ
GCAM-China-ref,AH,H2 central production,nuclear,thermal splitting,nuclearFuelGenIII,0,0,0,0,2.24E-04,3.45E-04,0.001127428,0.001955333,0.002673014,0.00337817,0.0039243,0.0049129,0.009958778,0.01224508,0.01040801,0.008838556,7.08E-03,5.40E-03,4.35E-03,3.88E-03,4.33E-03,EJ
GCAM-China-ref,AH,H2 central production,solar,electrolysis,global solar resource,0,0,0,0,9.27E-06,1.96E-05,1.29E-04,3.14E-04,5.55E-04,8.96E-04,0.001240684,0.001853995,0.004707648,0.006109747,0.005330222,0.004634849,3.77E-03,2.91E-03,2.35E-03,2.11E-03,2.35E-03,EJ
GCAM-China-ref,AH,H2 central production,wind,electrolysis,onshore wind resource,0,0,0,0,1.09E-04,1.96E-04,9.22E-04,0.001935069,0.003070952,0.004503279,0.005858094,0.008220128,0.018370471,0.023157988,0.020027451,0.017246726,1.39E-02,1.06E-02,8.56E-03,7.63E-03,9.35E-03,EJ
GCAM-China-ref,AH,H2 industrial,H2 delivery,H2 delivery,H2 wholesale delivery,0,0,0,0,0.00312856,3.94E-03,1.35E-02,2.01E-02,2.59E-02,3.25E-02,3.38E-02,3.71E-02,8.34E-02,1.06E-01,9.99E-02,8.85E-02,7.23E-02,5.68E-02,4.72E-02,4.27E-02,4.18E-02,EJ
GCAM-China-ref,AH,H2 industrial,forecourt production,electrolysis,elect_td_ind,0,0,0,0,6.90E-04,1.14E-03,0.001304376,0.002087899,0.002791929,0.00353462,0.003456539,0.003496773,0.003967763,0.004554443,0.007268641,0.009198188,8.10E-03,6.22E-03,4.99E-03,4.39E-03,3.85E-03,EJ
GCAM-China-ref,AH,H2 liquid truck,H2 liquid truck,H2 liquid truck,H2 central production,0,0,0,0,0.00130137,2.00E-03,3.16E-03,5.57E-03,7.27E-03,8.56E-03,9.25E-03,1.12E-02,2.57E-02,3.17E-02,3.22E-02,3.02E-02,2.51E-02,1.97E-02,1.65E-02,1.54E-02,1.58E-02,EJ
GCAM-China-ref,AH,H2 liquid truck,H2 liquid truck,H2 liquid truck,elect_td_ind,0,0,0,0,3.60E-04,5.54E-04,8.34E-04,1.40E-03,1.75E-03,1.99E-03,2.08E-03,2.43E-03,5.41E-03,6.67E-03,6.77E-03,6.37E-03,5.28E-03,4.15E-03,3.47E-03,3.24E-03,3.33E-03,EJ
GCAM-China-ref,AH,H2 liquid truck,H2 liquid truck,H2 liquid truck,trn_freight_road,0,0,0,0,1.72692,2.66E+00,4.19064,7.39695,9.64174,11.3639,12.2805,14.8393,34.0964,42.0205,42.6945,40.1386,3.33E+01,2.61E+01,2.19E+01,2.04E+01,2.10E+01,million ton-km
