region,sector,Year,co2.emiss,scenario
AH,agricultural energy use,1990,0,GCAM-China-ref
BJ,agricultural energy use,1990,0,GCAM-China-ref
CQ,agricultural energy use,1990,0,GCAM-China-ref
FJ,agricultural energy use,1990,0,GCAM-China-ref
GD,agricultural energy use,1990,0,GCAM-China-ref
GS,agricultural energy use,1990,0,GCAM-China-ref
GX,agricultural energy use,1990,0,GCAM-China-ref
GZ,agricultural energy use,1990,0,GCAM-China-ref
HA,agricultural energy use,1990,0,GCAM-China-ref
HB,agricultural energy use,1990,0,GCAM-China-ref
HE,agricultural energy use,1990,0,GCAM-China-ref
HI,agricultural energy use,1990,0,GCAM-China-ref
HL,agricultural energy use,1990,0,GCAM-China-ref
HN,agricultural energy use,1990,0,GCAM-China-ref
JL,agricultural energy use,1990,0,GCAM-China-ref
JS,agricultural energy use,1990,0,GCAM-China-ref
JX,agricultural energy use,1990,0,GCAM-China-ref
LN,agricultural energy use,1990,0,GCAM-China-ref
NM,agricultural energy use,1990,0,GCAM-China-ref
NX,agricultural energy use,1990,0,GCAM-China-ref
QH,agricultural energy use,1990,0,GCAM-China-ref
SC,agricultural energy use,1990,0,GCAM-China-ref
SD,agricultural energy use,1990,0,GCAM-China-ref
SH,agricultural energy use,1990,0,GCAM-China-ref
SN,agricultural energy use,1990,0,GCAM-China-ref
SX,agricultural energy use,1990,0,GCAM-China-ref
TJ,agricultural energy use,1990,0,GCAM-China-ref
XJ,agricultural energy use,1990,0,GCAM-China-ref
XZ,agricultural energy use,1990,0,GCAM-China-ref
YN,agricultural energy use,1990,0,GCAM-China-ref
ZJ,agricultural energy use,1990,0,GCAM-China-ref
AH,airCO2,1990,0,GCAM-China-ref
BJ,airCO2,1990,0,GCAM-China-ref
CQ,airCO2,1990,0,GCAM-China-ref
FJ,airCO2,1990,0,GCAM-China-ref
GD,airCO2,1990,0,GCAM-China-ref
GS,airCO2,1990,0,GCAM-China-ref
GX,airCO2,1990,0,GCAM-China-ref
GZ,airCO2,1990,0,GCAM-China-ref
HA,airCO2,1990,0,GCAM-China-ref
HB,airCO2,1990,0,GCAM-China-ref
HE,airCO2,1990,0,GCAM-China-ref
HL,airCO2,1990,0,GCAM-China-ref
HN,airCO2,1990,0,GCAM-China-ref
JL,airCO2,1990,0,GCAM-China-ref
JS,airCO2,1990,0,GCAM-China-ref
JX,airCO2,1990,0,GCAM-China-ref
LN,airCO2,1990,0,GCAM-China-ref
NM,airCO2,1990,0,GCAM-China-ref
NX,airCO2,1990,0,GCAM-China-ref
QH,airCO2,1990,0,GCAM-China-ref
SC,airCO2,1990,0,GCAM-China-ref
SD,airCO2,1990,0,GCAM-China-ref
SH,airCO2,1990,0,GCAM-China-ref
SN,airCO2,1990,0,GCAM-China-ref
SX,airCO2,1990,0,GCAM-China-ref
TJ,airCO2,1990,0,GCAM-China-ref
XJ,airCO2,1990,0,GCAM-China-ref
YN,airCO2,1990,0,GCAM-China-ref
ZJ,airCO2,1990,0,GCAM-China-ref
China,backup_electricity,1990,0,GCAM-China-ref
AH,base load generation,1990,3.7215743,GCAM-China-ref
BJ,base load generation,1990,2.129954,GCAM-China-ref
CQ,base load generation,1990,0,GCAM-China-ref
FJ,base load generation,1990,1.4158353,GCAM-China-ref
GD,base load generation,1990,9.09396,GCAM-China-ref
GS,base load generation,1990,1.5655011,GCAM-China-ref
GX,base load generation,1990,1.0803284,GCAM-China-ref
GZ,base load generation,1990,1.66299432,GCAM-China-ref
HA,base load generation,1990,5.1019347,GCAM-China-ref
HB,base load generation,1990,2.112525,GCAM-China-ref
HE,base load generation,1990,7.1197198,GCAM-China-ref
HI,base load generation,1990,0.276424,GCAM-China-ref
HL,base load generation,1990,5.4187126,GCAM-China-ref
HN,base load generation,1990,1.6556528,GCAM-China-ref
JL,base load generation,1990,2.785228,GCAM-China-ref
JS,base load generation,1990,8.326994,GCAM-China-ref
JX,base load generation,1990,1.2877169,GCAM-China-ref
LN,base load generation,1990,7.30300157,GCAM-China-ref
NM,base load generation,1990,3.4658302,GCAM-China-ref
NX,base load generation,1990,0.98525766,GCAM-China-ref
QH,base load generation,1990,0.2053542,GCAM-China-ref
SC,base load generation,1990,3.5123622,GCAM-China-ref
SD,base load generation,1990,9.42433853,GCAM-China-ref
SH,base load generation,1990,5.925043,GCAM-China-ref
SN,base load generation,1990,2.1332578,GCAM-China-ref
SX,base load generation,1990,5.94938,GCAM-China-ref
TJ,base load generation,1990,2.36250618,GCAM-China-ref
XJ,base load generation,1990,1.0673727,GCAM-China-ref
XZ,base load generation,1990,0.0186187,GCAM-China-ref
YN,base load generation,1990,0.989081,GCAM-China-ref
ZJ,base load generation,1990,3.767902,GCAM-China-ref
China,biochar,1990,0,GCAM-China-ref
AH,cement,1990,1.36541,GCAM-China-ref
BJ,cement,1990,0.713932,GCAM-China-ref
CQ,cement,1990,0.729326,GCAM-China-ref
FJ,cement,1990,0.425181,GCAM-China-ref
GD,cement,1990,1.05917,GCAM-China-ref
GS,cement,1990,0.431625,GCAM-China-ref
GX,cement,1990,0.689972,GCAM-China-ref
GZ,cement,1990,0.778456,GCAM-China-ref
HA,cement,1990,1.23998,GCAM-China-ref
HB,cement,1990,1.54961,GCAM-China-ref
HE,cement,1990,2.11937,GCAM-China-ref
HI,cement,1990,0.0241528,GCAM-China-ref
HL,cement,1990,0.8529,GCAM-China-ref
HN,cement,1990,1.2838,GCAM-China-ref
JL,cement,1990,1.01871,GCAM-China-ref
JS,cement,1990,1.61358,GCAM-China-ref
JX,cement,1990,0.585331,GCAM-China-ref
LN,cement,1990,2.95712,GCAM-China-ref
NM,cement,1990,0.874816,GCAM-China-ref
NX,cement,1990,0.129216,GCAM-China-ref
QH,cement,1990,0.0780796,GCAM-China-ref
SC,cement,1990,1.30002,GCAM-China-ref
SD,cement,1990,1.55971,GCAM-China-ref
SH,cement,1990,0.82751,GCAM-China-ref
SN,cement,1990,0.665241,GCAM-China-ref
SX,cement,1990,1.73321,GCAM-China-ref
TJ,cement,1990,0.425794,GCAM-China-ref
XJ,cement,1990,0.169348,GCAM-China-ref
XZ,cement,1990,0.0167207,GCAM-China-ref
YN,cement,1990,0.654777,GCAM-China-ref
ZJ,cement,1990,0.933923,GCAM-China-ref
AH,chemical energy use,1990,0,GCAM-China-ref
BJ,chemical energy use,1990,0,GCAM-China-ref
CQ,chemical energy use,1990,0,GCAM-China-ref
FJ,chemical energy use,1990,0,GCAM-China-ref
GD,chemical energy use,1990,0,GCAM-China-ref
GS,chemical energy use,1990,0,GCAM-China-ref
GX,chemical energy use,1990,0,GCAM-China-ref
GZ,chemical energy use,1990,0,GCAM-China-ref
HA,chemical energy use,1990,0,GCAM-China-ref
HB,chemical energy use,1990,0,GCAM-China-ref
HE,chemical energy use,1990,0,GCAM-China-ref
HI,chemical energy use,1990,0,GCAM-China-ref
HL,chemical energy use,1990,0,GCAM-China-ref
HN,chemical energy use,1990,0,GCAM-China-ref
JL,chemical energy use,1990,0,GCAM-China-ref
JS,chemical energy use,1990,0,GCAM-China-ref
JX,chemical energy use,1990,0,GCAM-China-ref
LN,chemical energy use,1990,0,GCAM-China-ref
NM,chemical energy use,1990,0,GCAM-China-ref
NX,chemical energy use,1990,0,GCAM-China-ref
QH,chemical energy use,1990,0,GCAM-China-ref
SC,chemical energy use,1990,0,GCAM-China-ref
SD,chemical energy use,1990,0,GCAM-China-ref
SH,chemical energy use,1990,0,GCAM-China-ref
SN,chemical energy use,1990,0,GCAM-China-ref
SX,chemical energy use,1990,0,GCAM-China-ref
TJ,chemical energy use,1990,0,GCAM-China-ref
XJ,chemical energy use,1990,0,GCAM-China-ref
YN,chemical energy use,1990,0,GCAM-China-ref
ZJ,chemical energy use,1990,0,GCAM-China-ref
China,coal,1990,6.61351,GCAM-China-ref
AH,coal to liquids,1990,0,GCAM-China-ref
GD,coal to liquids,1990,0,GCAM-China-ref
HE,coal to liquids,1990,0,GCAM-China-ref
HL,coal to liquids,1990,0,GCAM-China-ref
NM,coal to liquids,1990,0,GCAM-China-ref
NX,coal to liquids,1990,0,GCAM-China-ref
SD,coal to liquids,1990,0,GCAM-China-ref
SN,coal to liquids,1990,0,GCAM-China-ref
XJ,coal to liquids,1990,0,GCAM-China-ref
YN,coal to liquids,1990,0,GCAM-China-ref
AH,coke,1990,0,GCAM-China-ref
BJ,coke,1990,0,GCAM-China-ref
CQ,coke,1990,0,GCAM-China-ref
FJ,coke,1990,0,GCAM-China-ref
GD,coke,1990,0,GCAM-China-ref
GS,coke,1990,0,GCAM-China-ref
GX,coke,1990,0,GCAM-China-ref
GZ,coke,1990,0,GCAM-China-ref
HA,coke,1990,0,GCAM-China-ref
HB,coke,1990,0,GCAM-China-ref
HE,coke,1990,0,GCAM-China-ref
HL,coke,1990,0,GCAM-China-ref
HN,coke,1990,0,GCAM-China-ref
JL,coke,1990,0,GCAM-China-ref
JS,coke,1990,0,GCAM-China-ref
JX,coke,1990,0,GCAM-China-ref
LN,coke,1990,0,GCAM-China-ref
NM,coke,1990,0,GCAM-China-ref
NX,coke,1990,0,GCAM-China-ref
QH,coke,1990,0,GCAM-China-ref
SC,coke,1990,0,GCAM-China-ref
SD,coke,1990,0,GCAM-China-ref
SH,coke,1990,0,GCAM-China-ref
SN,coke,1990,0,GCAM-China-ref
SX,coke,1990,0,GCAM-China-ref
TJ,coke,1990,0,GCAM-China-ref
XJ,coke,1990,0,GCAM-China-ref
YN,coke,1990,0,GCAM-China-ref
ZJ,coke,1990,0,GCAM-China-ref
AH,comm heating,1990,0.1953337,GCAM-China-ref
BJ,comm heating,1990,0.3248022,GCAM-China-ref
CQ,comm heating,1990,0.05073841,GCAM-China-ref
FJ,comm heating,1990,1.06E-05,GCAM-China-ref
GD,comm heating,1990,1.06E-05,GCAM-China-ref
GS,comm heating,1990,0.40130844,GCAM-China-ref
GX,comm heating,1990,2.48E-05,GCAM-China-ref
GZ,comm heating,1990,0.306082,GCAM-China-ref
HA,comm heating,1990,0.12094437,GCAM-China-ref
HB,comm heating,1990,0.1580008,GCAM-China-ref
HE,comm heating,1990,0.4496878,GCAM-China-ref
HI,comm heating,1990,0,GCAM-China-ref
HL,comm heating,1990,0.12326843,GCAM-China-ref
HN,comm heating,1990,0.13588804,GCAM-China-ref
JL,comm heating,1990,0.5972828,GCAM-China-ref
JS,comm heating,1990,0.1258007,GCAM-China-ref
JX,comm heating,1990,0.03911759,GCAM-China-ref
LN,comm heating,1990,0.2861046,GCAM-China-ref
NM,comm heating,1990,0.3477504,GCAM-China-ref
NX,comm heating,1990,0.01246764,GCAM-China-ref
QH,comm heating,1990,0.01199985,GCAM-China-ref
SC,comm heating,1990,0.2281052,GCAM-China-ref
SD,comm heating,1990,1.0330745,GCAM-China-ref
SH,comm heating,1990,0.1609643,GCAM-China-ref
SN,comm heating,1990,0.09288768,GCAM-China-ref
SX,comm heating,1990,0.11934942,GCAM-China-ref
TJ,comm heating,1990,0.32342501,GCAM-China-ref
XJ,comm heating,1990,0.1718899,GCAM-China-ref
XZ,comm heating,1990,0.3588294,GCAM-China-ref
YN,comm heating,1990,0.0723705,GCAM-China-ref
ZJ,comm heating,1990,0.1664224,GCAM-China-ref
AH,comm hot water_cooking,1990,0.1637489,GCAM-China-ref
BJ,comm hot water_cooking,1990,0.02277201,GCAM-China-ref
CQ,comm hot water_cooking,1990,0.017968,GCAM-China-ref
FJ,comm hot water_cooking,1990,0.07656748,GCAM-China-ref
GD,comm hot water_cooking,1990,0.3897836,GCAM-China-ref
GS,comm hot water_cooking,1990,0.00881013,GCAM-China-ref
GX,comm hot water_cooking,1990,0.1644921,GCAM-China-ref
GZ,comm hot water_cooking,1990,0.2879437,GCAM-China-ref
HA,comm hot water_cooking,1990,0.00413399,GCAM-China-ref
HB,comm hot water_cooking,1990,0.15153468,GCAM-China-ref
HE,comm hot water_cooking,1990,0.01301944,GCAM-China-ref
HI,comm hot water_cooking,1990,0,GCAM-China-ref
HL,comm hot water_cooking,1990,0.00969108,GCAM-China-ref
HN,comm hot water_cooking,1990,0.1335904,GCAM-China-ref
JL,comm hot water_cooking,1990,0.04710958,GCAM-China-ref
JS,comm hot water_cooking,1990,0.11963248,GCAM-China-ref
JX,comm hot water_cooking,1990,0.0385418,GCAM-China-ref
LN,comm hot water_cooking,1990,0.0224702,GCAM-China-ref
NM,comm hot water_cooking,1990,0.0281112,GCAM-China-ref
NX,comm hot water_cooking,1990,0.001355,GCAM-China-ref
QH,comm hot water_cooking,1990,0.001044,GCAM-China-ref
SC,comm hot water_cooking,1990,0.2063232,GCAM-China-ref
SD,comm hot water_cooking,1990,0.0321484,GCAM-China-ref
SH,comm hot water_cooking,1990,0.0982384,GCAM-China-ref
SN,comm hot water_cooking,1990,0.00337183,GCAM-China-ref
SX,comm hot water_cooking,1990,0.00331464,GCAM-China-ref
TJ,comm hot water_cooking,1990,0.01517839,GCAM-China-ref
XJ,comm hot water_cooking,1990,0.01598947,GCAM-China-ref
XZ,comm hot water_cooking,1990,0.08873338,GCAM-China-ref
YN,comm hot water_cooking,1990,0.0597647,GCAM-China-ref
ZJ,comm hot water_cooking,1990,0.1565396,GCAM-China-ref
AH,construction energy use,1990,0,GCAM-China-ref
BJ,construction energy use,1990,0,GCAM-China-ref
